group_1,group_2,group_3,group_4,group_5,group_6
Pacific_lamprey,Pacific_lamprey,Pacific_lamprey,Pacific_lamprey,Pacific_lamprey,Pacific_lamprey
River_lamprey,River_lamprey,River_lamprey,Klamath_River_lamprey,Klamath_River_lamprey,River_lamprey
Western_brook_lamprey,Western_brook_lamprey,Western_brook_lamprey,River_lamprey,River_lamprey,Western_brook_lamprey
Southern_green_sturgeon,Northern_green_sturgeon,White_sturgeon,Western_brook_lamprey,Western_brook_lamprey,Southern_green_sturgeon
White_sturgeon,White_sturgeon,Sacramento_hitch,Northern_green_sturgeon,Northern_green_sturgeon,White_sturgeon
Sacramento_hitch,Sacramento_hitch,Southern_coastal_roach,White_sturgeon,White_sturgeon,Sacramento_hitch
Sacramento_splittail,Hardhead,Sacramento_splittail,Longfin_smelt,Blue_chub,California_roach
Longfin_smelt,Sacramento_pikeminnow,Hardhead,Upper_Klamath_Trinity_fall_Chinook_salmon,Klamath_largescale_sucker,Southern_coastal_roach
Delta_smelt,Sacramento_sucker,Sacramento_pikeminnow,Upper_Klamath_Trinity_spring_Chinook_salmon,Lost_River_sucker,Sacramento_splittail
Central_Valley_winter_Chinook_salmon,Longfin_smelt,Sacramento_sucker,Southern_Oregon_Northern_California_coast_coho_salmon,Shortnose_sucker,Hardhead
Central_Valley_spring_Chinook_salmon,California_Coast_fall_Chinook_salmon,Longfin_smelt,Klamath_Mountains_Province_winter_steelhead,Upper_Klamath_Trinity_fall_Chinook_salmon,Sacramento_pikeminnow
Central_Valley_late_fall_Chinook_salmon,Central_Coast_coho_salmon,California_Coast_fall_Chinook_salmon,Klamath_Mountains_Province_summer_steelhead,Upper_Klamath_Trinity_spring_Chinook_salmon,Sacramento_sucker
Central_Valley_fall_Chinook_salmon,Southern_Oregon_Northern_California_coast_coho_salmon,Central_Coast_coho_salmon,Lower_Klamath_marbled_sculpin,Southern_Oregon_Northern_California_coast_coho_salmon,Delta_smelt
Central_California_coast_winter_steelhead,Northern_California_coast_winter_steelhead,Central_California_coast_winter_steelhead,Inland_threespine_stickleback,Klamath_Mountains_Province_winter_steelhead,Central_Valley_spring_Chinook_salmon
Inland_threespine_stickleback,Northern_California_coast_summer_steelhead,Riffle_sculpin,Tidewater_goby,Klamath_Mountains_Province_summer_steelhead,Central_Coast_coho_salmon
Sacramento_tule_perch,Inland_threespine_stickleback,Inland_threespine_stickleback,,Upper_Klamath_marbled_sculpin,Central_California_coast_winter_steelhead
,Tidewater_goby,Sacramento_tule_perch,,Inland_threespine_stickleback,Riffle_sculpin
,,Tidewater_goby,,Tidewater_goby,Inland_threespine_stickleback
,,,,,Sacramento_tule_perch
,,,,,Tidewater_goby
